text,label
여자들은 머머리 티나면 개싫어하는거 알지?ㅋ ㅋ 전현무 머리 벗겨지든데,혐오
비아그라 광고드러오것다 재수없는 년. 놈,혐오
서예지는 드라마에서는 이쁘게 나오는데 예능 나오는 거 보면 존못탱;;디게 이상하게생김희한하네..ㅡㅡㅋ 글고 말하는거 너무 깨더라 수준낮아보임;; 그냥 평생 드라마만 해요..,혐오
생긴것도 악덕복덕방 아줌마처럼 생겼네,혐오
갈때 승리도 가면 좋을텐데 왜 안가지. 사업때문에 바빠서 그런가,비혐오
이휘재 지금도 나오는거 소름,비혐오
본인인생들에 훈수나 두지 남의 가정사에 훈수는 ㅋㅋㅋㅋ,비혐오
구하라 연예인들도 인정한 여자 아이돌 싸움꾼이라던데,비혐오
차은우는 담배 피며 침 뱉는 아저씨 같이 생겼는데⁉️⁉️⁉️,비혐오
김어준정봉준김용민 그만좀 보고싶다. 문재인의 짐같은 존재들.,혐오
메갈련들 진짜 ㅋㅋ진심 개역겹다 와 ㅋㅋ이걸 쉴드를 치네,혐오
20대 남성은 최악인데 장난하냐,비혐오
거의 극 맘충들은 588종사자들 ㅋㅋ,혐오
이번기회에 쪽바리와 교류 중단하자~!!!,혐오
힘내세요 모 세상에 안그런 남자들이 어디있나요똥밣았다생각하시고 몸 잘챙기세요~~,비혐오
트와이스 흥하자^^,비혐오
덤벼라! 18 박사모 늙은 것들아 ㅎㅎ,혐오
너무 못생겨졌다 헉,혐오
"옥수수, 풋고추 등등 마트에서 껍질 벗기고 꼭지 따서 무게 재는 사람도 봤음.",비혐오
ㅈ같이 생긴건 글이나 싸지르지말고 성형이나 해라.,혐오
노인도 아니고 젊은사람이 계단에서 왜넘어지지?좀 이상한데,비혐오
끝이 별루다 자살로 끝나다니,비혐오
한국인특징: 가난하게 자라면 착한줄암,혐오
연예인인데 저정도는기본인데 행동태도가 막돼먹은거 오늘 아형에서 알았네 송지효 실망이고 꼴보기싫고 별로다,비혐오
결과도없이 이미 범죄자로 몰아넣는게 참 최종 결론 나오고 나서 욕해도 늦지 않다,비혐오
40대 정신이 썩은 세대로 노동의 가치를 모르고 좌빠리에 물든세대,혐오
마약도 아니고 올리면안되냐,비혐오
토착왜구 맞네. 일본을 욕해야 되는 데 대한민국 정부 욕하네. ㅋㅋㅋ,혐오
제발 시대가 어느시댄데 저런걸 시비걸고 못잡아먹아 안달낫냐 그러러니하고 적당히들 하시요 다 사람사는 세상 아니겟소,비혐오
일베 신천지 많네 쓰레기들 개의지 같은놈들,혐오
여자 성형 심하게 핬나?,비혐오
하여튼가 바둑이내보내면 안돼는대 이번에는 웜돼지들이했나,혐오
쪽바리 사생아놈이랑 붙어먹은 메달리스트,혐오
애미가 지 맘대로 낳았는데 책임져야하나? 남자라서 당했습니다,혐오
결국은 좌빠방송으로가서 눈물짜는군그래봐자 인성이어디로가라재 x 효 x 이런인간들하구놀아싹수가 먼새월이다,혐오
엌ㅋㅋㅋㅋ,비혐오
재앙아~ 뭐 하냐? X XXX 시끼야 .,혐오
잘생각했다 조이 우도환 나오는 드라마현상황에서는 연기되는것이 .....일단 레드벨벳팬들한테는 좋은소식,비혐오
남편새끼가 모자이크로 봐도 ㅈ같이 생겼네,혐오
백종원도 기름값 껌값 버는게 쏠쏠하니 이 프로그램 하는게 쏠쏠하지 않겠냐?ㅋ,비혐오
얼굴까라 언제까지 개죠카튼 악마같은뇬 인권지켜줄건데,혐오
하다하다 이제 음식도 나오네,비혐오
이쁘다지적이구,비혐오
존나 돼지드라 살좀빼야할듯~,혐오
재인아 도망가!!!! 걔는 진짜 아니야ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,비혐오
김생민이 잘나가니까 여자가 질투났나 10전일로 ..이것도 남의인생망치네..김생민가족은 어쩌라고,비혐오
"키짜리몽땅목짤막조유리와..,지석진왕코친척일거같은이채연!ᆢ웬지소속사빨같지않나요ᆢ",혐오
홍진영씨 너무 이쁘네요 ^^ 이번앨범 잘되기를 기원합니다.,비혐오
솔직히 수지 때문에 피해 입었다는 것도 스튜디오 측의 일방적인 주장 아님? 양예원한테 재수 없게 낚여서 이게 뭔 고생인지... 힘내 수지야. ㅠ,비혐오
홍현희제이쓴은 왜나와,비혐오
자유일본겐세이당 망해라.,혐오
에라 이새끼야 네복을 네가발로차는구나 니친구송중기는 아스달연대기찍는다더라,혐오
개독들 또 득달같이 몰려들어서 교황님 물어뜯네 ㅋㅋ,혐오
싫은 사람이 조롱하듯 만지는데 추행 아니면 뭐냐? 폭행이냐? 이 내로남불들아,비혐오
수위가 심한게 있나보다!! 와 대박..,비혐오
눈빛이 싫다. 몬생기고..,혐오
와우~~ 진짜 미친 라인업이다!!! 기다렸어요 김현주씨~^^ 믿고볼게요~,비혐오
역시 남자는 어려야돼.. 영앤리치앤핸섬 피쓰,혐오
일반가수로 치면 롤모델이 조용필이라고 말하는 셈인데 그렇게 실제로 말하는 가수가 거의 없는거는 알고있나 몰라.. 이유는 물론 감히 모델하기 어려운 존재라서 그렇지.,비혐오
삐뜰어진 틀딱새끼~!! 부들부들,혐오
무섭다. 진심 사이비종교집단 같다. 한번 빠지면 못 헤어 나오는.,혐오
박진희 눈만 째려 볼줄알고 감정표현이 와닿지가 않네 고현정과 너무비교 된다,비혐오
물아일체 아니죠 모라일체!화투장이 나고 내가화투장인! 모라일체!경지,비혐오
"중국이 먼저다..,. 독재앙",혐오
한남들 최후의 정신승리 ㅋㅋㅋ,혐오
고현정은pd폭행사건때문에하차한거자너.톱이었을때나갑질이통했지왕년에스타가그런행동하면이젠안먹히지.,비혐오
"갠차나 나중에 엄마처럼 쌍쓰,코 하고 살확빼믄 엄마보다 더나을수도잇음",비혐오
이새끼야 니는 부인허락도 없이 이혼발표하려던 새끼아니냐? 입이나다물지,혐오
공부나해라 멍청한년들아 애잔하다 나이번에 수능 잘 봐서 국어97 수학 96 영어 95 사문47생윤 50 나와서 sky는 그냥 갈성적인데 나 고2고 검정고시쳐서 어차피 재수해서 내년에는 이과로 시험봐서 서울대 컴퓨터공학과 갈거다 아마 여기에 있는년들중 20~ 30대여자들90%는 아마 지잡대이겠지 내가 키크고 잘생기고 머리좋으니까 너네에게 이런말하는거다 공부해!! 이글비공누르면 지잡대인정~~ 그리고 이거 다 팩트다^^ 그리고 불만있으면 얼굴이쁘고 몸매 좋고 sky다니는 누나아니면 댓글달지마 그리고 덕질들 그만하고 일좀 성실하게 해!!,혐오
중국아 한국 걱정하지 말고 한국을 방문금지 국가로 지정해. 부탁이야 !,비혐오
국민세금으로 중국놈들 치료해주려고 진짜 문재앙이네,혐오
완전노안,혐오
아들에게는 아빠유전자 몰빵 딸은 엄마유전자 몰빵이구만,비혐오
ㅋㅋ 돼지열병 연천 dmz멧돼지양성 애기는 모르시는 애기죠?,비혐오
송가인은 미운 우리새끼에 나와야하는거아니냐?,비혐오
오줌 똥 못싸라 퉤퉤,비혐오
ㅋㅋ 늙은이들이 뭘 알겠어? ㅋㅋ,혐오
ㅁ ㅣ 친 ㅅ ㅂ 뇬 ㅈ ㄹ 널뛰고있네 ㅡㅡ,혐오
"박정현,이수현이 나온다니 방갑네요~~",비혐오
대다나다 저 여자 ㅋㅋㅋ 아무리 낯짝이 두꺼워도 저 정도는 첨 본다,비혐오
이 분도 외모와 다른 대표적 연옌 중 한명.,비혐오
"승리, 정준영, 떨거지들까지 같이 짱^개국으로 추방해버려라~!!",혐오
현무가 아깝ㅋㅋ,비혐오
기부 세액공제는 2배로 해줘라 그러면 많이들 기부할것 같은데,비혐오
근데 사재기를햇다지만 음반5%반영인데? 그냥 축하해줘라 못생기긴 했지만 노력하잖냐,혐오
저게 무슨 오역이냐?? 나중에 진짜 여캐나와서 엄마 엄마 거리면 재평가 ㄷㄷㄷ 미안... ㅇㅈㄹ 할꺼냐???,비혐오
조카튼 전라도 바퀴벌레들만 참여한 청원 아닌감 ㅋㅋㅋ,혐오
하여간 틀딱들은 박멸이 답 ㅋ,혐오
"너무 마르면 남자들은 오히려 거부감듬, 살찌운건 아주 잘한거임",비혐오
이런 정신병자 목사놈아 아니 넌 목사가 아니라 사이비 교주다. 빨리 디져라...,혐오
방시혁이이놈이이제사정신쨍겼군 썩을놈생긴것도쪽발이2세처럼생겨서,혐오
국민들이 공감하는거보면 정부가 여적죄아닐까,비혐오
장깐 좋다 말았네....송송은 작품 예능 가리지 말고 열일해주라~,비혐오
얼굴몸매로먹고사는게 연예인인데.. 배우몸을저렇게해놓냐 일반인한테도 저러면 안되는거아님? 보상안해주고뭐하냐;;,비혐오
인조인간 같이 생긴 이상한 OOO 중국여자...별로 안불쌍.,혐오
"야 ㅋㅋ솔직히 손나은 좋아했엇지만 오늘방송은 좀 안이쁜디, 쉬는중이라 살도 찐거같고",혐오
"우리는 당신과 함께 노력할 테니, 당신과 함께 가서！강자니엘 축하해",비혐오
ㅅㅎ는 이제 그만 빨자 1프로라니 ㅋㅋㅋ,비혐오
아유~~썩은내~ 얼굴은 아귀같이 생겨가지고 찐득찐득 더러운 침을 뱉어내는구나 켁!!,혐오
하현우 팬이라는 20대 가시나들아 그래서 니들은 하현우랑 결혼 할꺼가? 응? 할꺼냐고!!! 죵낮역겹네 나만 아니면 되제?,혐오
해가쥐기전에 가려했지~,비혐오
토착간첩 문재앙 정부가 정확한 지침을 안주니까 이런거지. 헬조선 재앙민국,혐오
씹도 보고있나?,혐오
돈이 얼마나 많은거야권력과 성을 돈으로 다 샀네부럽다,비혐오
존나 허세잡으면서 걸그룹한테도 들이댔지? 답나온다,혐오
주접들 떨고있네,비혐오
대깨문들이 왤케많냐 나라꼴 판타스틱하다,혐오
구찌방은 이찌방이네!웅,비혐오
미세먼지 문쩝쩝이 너나 쳐묵어라,혐오
완전 좋겠다~ 열살차이 열애 축하합니다,비혐오
얘도 참 얼굴 두껍네ㅉㅈㅈ,비혐오
국내 1위 팬덤 트와이스 원스가jyp 원더걸스 출신 선미를 응원합니다~~우리가 스밍도 해주고 문투도 하고..선미 1위는 우리 원스 덕입니다.,비혐오
성추행 이란게 어느정도까지 진도가 나간거냐너무 범위가 넓어,비혐오
한국남자들은 외국에서 살해당해도 싸다,혐오
자한당병진들은 원래 뻔뻔한 면상은 기본 스킬이지.,혐오
달창새 끼 들아 니네 수령님 한테 틀니딱딱 틀딱 이라 말하냐 궁금 하다 ㅌ,혐오
나라 갈라 놓은 북한 똥꼬나 빠는 나라의 수장이 꼴보기 싫다,혐오
항상 응원합니다,비혐오
짱개 존나 거슬렸는데 안보이게 된다니 다행이다,혐오
미투 진짜... 좃같다,혐오
내 장담하건데 한국에 일덕후들 존나 많아서 100% 초대박난다. 다만 국내 기획사팬들 일명 회사퀴들과 더쿠들의 싸움판까지 벌어져서 아이돌계는 더더욱 개판이 될듯 ㅋ,비혐오
한국여자들이 부러운 것중에 하나 힘들때 위로해주고 치유해주는 김윤아라는 언니가 있다는거,비혐오
얼굴에 살이 많을걸 보아 뇌에 지방이 가득 차서 빡대가리 인거 같다,혐오
지룰이 이런건가. 돼지야 꼴갑떨다 총맞아OOO,혐오
너네집에 한국사람이 불질랏냐 넌 한국 사람한테 칼침맞겟네 ㅋㅋ,혐오
성비 봐라 시바 아이돌 기사인줄,혐오
외제차사지말고외제차살돈으로아들양육비나보내라ㅉㅉ,비혐오
폐지하자 마가 꼈다,비혐오
하여간 늙은 남자놈들 문제다 어린 애들 데리고 뭐하는 짓이냐?????,혐오
이제 네이버는 틀딱 일베들 소굴이구만 에이,혐오
자기들 끼리 이단이래... 풋~,비혐오
이제 대세는 방탄이군요 다들 ㅇㅈ?,비혐오
공자닮고 싶으면 우선 개명부터하고 이미지 찾아서 생김새부터 비슷하게 고치든가,비혐오
둘이 잘어울림,비혐오
기안 84가 약먹었냐 박나래랑 결혼하게 맥심모델 어린년이 한번 자고 싶다고 하는 요즘 한창 대센데 박나래 닮은 망상녀들 기안이 박나래 좋아하는게 진심이라고 베댓조작하고 있네 박나래가 어떻게든 결혼하고 싶어서 들이대는거 같은데 ㅋㅋ,혐오
전광훈이넘이 개독교 망신 다 시키네 ㅉㅉ,혐오
뭐야? 다들 눈뜨고 뭘본거지? 남자둘 도우미가잡아주구.. ( 한혜진혼자 밧줄잡고..박나래 타이트하게잡구.. ) mbc간판하구싶음 편집. 제대로하시던지.. 지들끼리 스튜디오안에서.. 연기들두.. 한계가있을것..,비혐오
자한당은전체가쓰레기라자한당은내년에없어지것다ㅋ틀딱들부들부들하는거보니ㅋㅋ,혐오
댓글에 전라도 사람들 ㅋㅋㅋ,비혐오
한마디로 똘아이 인정...애도는 니 맘속에서 해도 충분해 이 싸이코 새꺄,혐오
문로남불 하는 개돼지 달충 버 러지들이 문제지. 경호원이 무슨 죄겠냐,혐오
"당,외모를 떠나서 기분 나쁘겠는데?심지어 만진 사람도 못생겼잖아",혐오
미친좌파들 요즘너무오만하게 설쳐서 어휴 토나온다 얼굴도 개그지같이생겨가지고는,혐오
젖국 ㅡㅡ썩은 냄시가ㅡㅡㅡ,혐오
누나 배그듀오해용,비혐오
고구마고구마고구마짜증짜증짜증,비혐오
성형 좀 한 듯 예전이랑 달라,비혐오
노래도못하는 검은머리외국인이 가수를한대요ㅋㅋ,혐오
육지담이 강다니엘에게 뭔가 맺힌게 있는듯하다. 왠지 동정이 가네.,비혐오
얼굴이 점점 커지네,비혐오
며칠전 백지영 티비에나온것보니...성형했던 얼굴은 어디가고~~영 쪼그라들고 못생겼더라! 나이도 42세인데 33세 잘생긴 남편이 이제사 현실감이드니~괴롭기도 하겠다! 애도 있으니...오래 못갈듯해보이네? 백지영이 돈은 좀 버는지 몰라도 돈이 다가 아니지~앞으로 살날이 더 많으니까 괴로웠겠지...그렇다고 마약이냐? 돈이 썪어나니 머리속이 똥으로만 차있구나!,혐오
문재앙한테 계속쏴라,혐오
샤이니 민호 단독으로 미국 영부인과 행사. 방탄소년단 청와대 근처도 못가봄,비혐오
노인네들만 앉아있네ㅋㅋ노인정에서 끌고 나온듯,비혐오
난또 이영화를 보자고 여자친구가 개처럼 끌고가겠지...하... 안보고 싶은데..싫다고오 ..하,비혐오
꽃뱀에 제대루 당했어 결혼은 두째치고 변기이미지는 꽃뱀 최대 피해자,비혐오
"ozgi// 어~이 중국조선족. 어려워? 그럼 시징핑 중국 개,. 세끼 해봐. ㅋㅋㅋ",혐오
텁텀한냄새라니여ㅡㅡ 미투신고할껍니다,비혐오
전라도 진짜 유난떤다,혐오
문에이포아야 적폐는 언제 청산하노 ㅋㅋㅋ 정치보복만 하지말고 ㅋ,혐오
그냥 워너원 팬들이 주구장창댓글 다는구나,비혐오
난 재밌게 봤음. 그걸 보고 좌파니 적폐니 생각하는 자체가 의심스러움.,비혐오
살 빼도 돼지,혐오
박나래가 아깝지... 기안 리얼 얼간이,비혐오
"쌍수,코 수술해서 더 안이뻐짐",혐오
리메이크된 이유를 알겟네요.. 물림을주는 드라마,비혐오
"한은정이 고현정 역활맡았으면 드라마 대박났고, 이늙어빠진 꺽다리 고현정 보느라 시청자 안괴로워도 됐는데, pd랑 작가가 왜 이늙은여자를 선택했는지?",혐오
아이고 젖이 저개 머냐,혐오
문페미가 사법부에 명령내린거다,비혐오
"출연자 팬들만 볼것 같음 , 민박을 유럽이나 미주로 하면 볼듯",비혐오
